month,horizon,forecast,lo,hi,shock_lo,shock_hi,days_in_month,daily_mean,festival_days,festival_dates,festival_labels,festival_day_load
2026-08,1,595553.9569406247,365595.298096466,838605.6034989527,0.0,906684.9523680699,31,19211.417965826604,1,2026-08-28,Raksha Bandhan,19211.417965826604
2026-09,2,486175.77453273116,175725.07976142777,788780.5632289378,0.0,945267.149122887,30,16205.85915109104,0,,,0.0
2026-10,3,637534.6413100762,340988.7013218281,961352.6629343282,0.0,1191690.3338709483,31,20565.63359064762,9,2026-10-11; 2026-10-12; 2026-10-13; 2026-10-14; 2026-10-15; 2026-10-16; 2026-10-17; 2026-10-18; 2026-10-19,Sharad Navratri (day 1),185090.7023158286
2026-11,4,524597.62836217,184685.51397848973,849433.4732042078,0.0,1199867.3987574945,30,17486.587612072333,1,2026-11-08,Diwali (Lakshmi Puja),17486.587612072333
2026-12,5,561697.0384233951,230982.77960114751,899909.2974091892,0.0,1200626.4970008356,31,18119.25930398049,0,,,0.0
2027-01,6,575583.5769202922,232948.6435833936,920251.211001024,0.0,1183024.401827203,31,18567.212158719103,0,,,0.0
