origin,target,horizon,model,actual,predicted,mase_scale,ae,se,smape,mase,regime,shock_window,config_hash,shocks_hash
1996-05,1996-11,6,drift,323835,486474.629032,40546.2743363,162639.629032,26451648931.8,40.1425882663,4.01121019612,clean,,f1310f570fef,3e176f06087d
1996-06,1996-07,1,drift,415325,663631.056,40684.8157895,248306.056,61655897446.3,46.0270934334,6.10316284298,clean,,f1310f570fef,3e176f06087d
1996-06,1996-08,2,drift,396492,668724.112,40684.8157895,272232.112,74110322804,51.1130293531,6.69124602674,clean,,f1310f570fef,3e176f06087d
1996-06,1996-09,3,drift,298788,673817.168,40684.8157895,375029.168,140646876851,77.1184814432,9.21791485896,clean,,f1310f570fef,3e176f06087d
1996-06,1996-10,4,drift,419933,678910.224,40684.8157895,258977.224,67069202550.7,47.1363372579,6.36545155667,clean,,f1310f570fef,3e176f06087d
1996-06,1996-11,5,drift,323835,684003.28,40684.8157895,360168.28,129721189918,71.4734272645,8.85264620255,clean,,f1310f570fef,3e176f06087d
1996-06,1996-12,6,drift,254306,689096.336,40684.8157895,434790.336,189042636279,92.1749542922,10.6867962301,clean,,f1310f570fef,3e176f06087d
1996-07,1996-08,1,drift,396492,418447.373016,40449.3565217,21955.3730159,482038404.266,5.38822242313,0.542786706732,clean,,f1310f570fef,3e176f06087d
1996-07,1996-09,2,drift,298788,421569.746032,40449.3565217,122781.746032,15075357158.6,34.0891027293,3.03544373977,clean,,f1310f570fef,3e176f06087d
1996-07,1996-10,3,drift,419933,424692.119048,40449.3565217,4759.11904762,22649214.1094,1.12691866256,0.117656236263,clean,,f1310f570fef,3e176f06087d
1996-07,1996-11,4,drift,323835,427814.492063,40449.3565217,103979.492063,10811734769.8,27.6670158528,2.57060930024,clean,,f1310f570fef,3e176f06087d
1996-07,1996-12,5,drift,254306,430936.865079,40449.3565217,176630.865079,31198462498.7,51.5527775861,4.36671631561,clean,,f1310f570fef,3e176f06087d
1996-07,1997-01,6,drift,161515,434059.238095,40449.3565217,272544.238095,74280361718.9,91.5231790303,6.7379128256,clean,,f1310f570fef,3e176f06087d
1996-08,1996-09,1,drift,298788,399441.496063,40243.3793103,100653.496063,10131126269.7,28.8310638925,2.50111938381,clean,,f1310f570fef,3e176f06087d
1996-08,1996-10,2,drift,419933,402390.992126,40243.3793103,17542.007874,307722040.252,4.2664468122,0.435897983088,clean,,f1310f570fef,3e176f06087d
1996-08,1996-11,3,drift,323835,405340.488189,40243.3793103,81505.488189,6643144604.92,22.3555205871,2.0253142153,clean,,f1310f570fef,3e176f06087d
1996-08,1996-12,4,drift,254306,408289.984252,40243.3793103,153983.984252,23711067406.1,46.47899713,3.82631843774,clean,,f1310f570fef,3e176f06087d
1996-08,1997-01,5,drift,161515,411239.480315,40243.3793103,249724.480315,62362316068.6,87.2012315565,6.20535562854,clean,,f1310f570fef,3e176f06087d
1996-08,1997-02,6,drift,126705,414188.976378,40243.3793103,287483.976378,82647036674.1,106.299566619,7.14363409099,clean,,f1310f570fef,3e176f06087d
1996-09,1996-10,1,drift,419933,300951.140625,40035,118981.859375,14156682860.3,33.0099811245,2.9719460316,clean,,f1310f570fef,3e176f06087d
1996-09,1996-11,2,drift,323835,303114.28125,40035,20720.71875,429348185.517,6.61001435672,0.517565099288,clean,,f1310f570fef,3e176f06087d
1996-09,1996-12,3,drift,254306,305277.421875,40035,50971.421875,2598085847.96,18.2176311458,1.27317152179,clean,,f1310f570fef,3e176f06087d
1996-09,1997-01,4,drift,161515,307440.5625,40035,145925.5625,21294269790.9,62.2342815264,3.64494973148,clean,,f1310f570fef,3e176f06087d
1996-09,1997-02,5,drift,126705,309603.703125,40035,182898.703125,33451935604.8,83.8391266619,4.56847016673,clean,,f1310f570fef,3e176f06087d
1996-09,1997-03,6,drift,361928,311766.84375,40035,50161.15625,2516141596.34,14.8913582211,1.25293259023,clean,,f1310f570fef,3e176f06087d
1996-10,1996-11,1,drift,323835,423018.48062,39745.5338983,99183.4806202,9837362827.93,26.5603584087,2.49546227946,clean,,f1310f570fef,3e176f06087d
1996-10,1996-12,2,drift,254306,426103.96124,39745.5338983,171797.96124,29514539486.3,50.4983674628,4.32244693655,clean,,f1310f570fef,3e176f06087d
1996-10,1997-01,3,drift,161515,429189.44186,39745.5338983,267674.44186,71649606825.3,90.6288908265,6.73470489905,clean,,f1310f570fef,3e176f06087d
1996-10,1997-02,4,drift,126705,432274.922481,39745.5338983,305569.922481,93372977524.8,109.331269404,7.68815744839,clean,,f1310f570fef,3e176f06087d
1996-10,1997-03,5,drift,361928,435360.403101,39745.5338983,73432.4031008,5392317825.15,18.4205371143,1.84756363542,clean,,f1310f570fef,3e176f06087d
1996-10,1997-04,6,drift,473706,438445.883721,39745.5338983,35260.1162791,1243275800.01,7.73119409352,0.887146625563,clean,,f1310f570fef,3e176f06087d
1996-11,1996-12,1,drift,254306,326157.530769,39692.7226891,71851.5307692,5162642473.88,24.7566046652,1.81019405829,clean,,f1310f570fef,3e176f06087d
1996-11,1997-01,2,drift,161515,328480.061538,39692.7226891,166965.061538,27877331774.5,68.1496915558,4.20644012874,clean,,f1310f570fef,3e176f06087d
1996-11,1997-02,3,drift,126705,330802.592308,39692.7226891,204097.592308,41655827185.8,89.2215105232,5.1419398439,clean,,f1310f570fef,3e176f06087d
1996-11,1997-03,4,drift,361928,333125.123077,39692.7226891,28802.8769231,829605719.046,8.2879641762,0.725646289087,clean,,f1310f570fef,3e176f06087d
1996-11,1997-04,5,drift,473706,335447.653846,39692.7226891,138258.346154,19115370281.2,34.1735702475,3.48321648875,clean,,f1310f570fef,3e176f06087d
1996-11,1997-05,6,drift,471650,337770.184615,39692.7226891,133879.815385,17923804967.4,33.0804242171,3.37290582038,clean,,f1310f570fef,3e176f06087d
1996-12,1997-01,1,drift,161515,256080.045802,39723.3333333,94565.0458015,8942547887.44,45.2903101951,2.38059190572,clean,,f1310f570fef,3e176f06087d
1996-12,1997-02,2,drift,126705,257854.091603,39723.3333333,131149.091603,17200084228.3,68.2075106098,3.30156310153,clean,,f1310f570fef,3e176f06087d
1996-12,1997-03,3,drift,361928,259628.137405,39723.3333333,102299.862595,10465261887,32.9173364847,2.57530911963,clean,,f1310f570fef,3e176f06087d
1996-12,1997-04,4,drift,473706,261402.183206,39723.3333333,212303.816794,45072910625.3,57.7612443023,5.3445619735,clean,,f1310f570fef,3e176f06087d
1996-12,1997-05,5,drift,471650,263176.229008,39723.3333333,208473.770992,43461313191.8,56.7409716101,5.24814393704,clean,,f1310f570fef,3e176f06087d
1996-12,1997-06,6,drift,603805,264950.274809,39723.3333333,338854.725191,114822524784,78.0092472567,8.5303698546,clean,,f1310f570fef,3e176f06087d
1997-01,1997-02,1,drift,126705,162572.643939,39440.0247934,35867.6439394,1286487881.76,24.7980752684,0.90942244908,clean,,f1310f570fef,3e176f06087d
1997-01,1997-03,2,drift,361928,163630.287879,39440.0247934,198297.712121,39321982632.5,75.4617391428,5.02782929676,clean,,f1310f570fef,3e176f06087d
1997-01,1997-04,3,drift,473706,164687.931818,39440.0247934,309018.068182,95492166462.8,96.8110919544,7.83513879113,clean,,f1310f570fef,3e176f06087d
1997-01,1997-05,4,drift,471650,165745.575758,39440.0247934,305904.424242,93577516771.1,95.9857381749,7.75619249341,clean,,f1310f570fef,3e176f06087d
1997-01,1997-06,5,drift,603805,166803.219697,39440.0247934,437001.780303,190970555988,113.41736803,11.080159878,clean,,f1310f570fef,3e176f06087d
