date,festival_id,label,day_index,duration_days,lunar_month
2022-09-28,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2022-09-29,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2022-09-30,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2022-10-01,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2022-10-02,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2022-10-03,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2022-10-04,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2022-10-24,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2023-02-18,maha_shivaratri,Maha Shivaratri,1,1,magha
2023-03-22,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2023-03-23,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2023-03-24,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2023-03-25,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2023-03-26,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2023-03-27,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2023-03-28,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2023-03-29,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2023-03-30,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2023-08-31,raksha_bandhan,Raksha Bandhan,1,1,shravana
2023-10-15,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2023-10-16,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2023-10-17,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2023-10-18,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2023-10-19,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2023-10-20,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2023-10-21,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2023-10-22,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2023-10-23,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2023-11-12,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2024-03-08,maha_shivaratri,Maha Shivaratri,1,1,magha
2024-04-09,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2024-04-10,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2024-04-11,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2024-04-12,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2024-04-13,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2024-04-14,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2024-04-15,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2024-04-16,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2024-04-17,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2024-08-19,raksha_bandhan,Raksha Bandhan,1,1,shravana
2024-10-03,sharad_navratri,Sharad Navratri (day 1),1,9,ashvina
2024-10-04,sharad_navratri,Sharad Navratri (day 1),2,9,ashvina
2024-10-05,sharad_navratri,Sharad Navratri (day 1),3,9,ashvina
2024-10-06,sharad_navratri,Sharad Navratri (day 1),4,9,ashvina
2024-10-07,sharad_navratri,Sharad Navratri (day 1),5,9,ashvina
2024-10-08,sharad_navratri,Sharad Navratri (day 1),6,9,ashvina
2024-10-09,sharad_navratri,Sharad Navratri (day 1),7,9,ashvina
2024-10-10,sharad_navratri,Sharad Navratri (day 1),8,9,ashvina
2024-10-11,sharad_navratri,Sharad Navratri (day 1),9,9,ashvina
2024-10-31,diwali,Diwali (Lakshmi Puja),1,1,ashvina
2025-02-26,maha_shivaratri,Maha Shivaratri,1,1,magha
2025-03-30,chaitra_navratri,Chaitra Navratri (day 1),1,9,chaitra
2025-03-31,chaitra_navratri,Chaitra Navratri (day 1),2,9,chaitra
2025-04-01,chaitra_navratri,Chaitra Navratri (day 1),3,9,chaitra
2025-04-02,chaitra_navratri,Chaitra Navratri (day 1),4,9,chaitra
2025-04-03,chaitra_navratri,Chaitra Navratri (day 1),5,9,chaitra
2025-04-04,chaitra_navratri,Chaitra Navratri (day 1),6,9,chaitra
2025-04-05,chaitra_navratri,Chaitra Navratri (day 1),7,9,chaitra
2025-04-06,chaitra_navratri,Chaitra Navratri (day 1),8,9,chaitra
2025-04-07,chaitra_navratri,Chaitra Navratri (day 1),9,9,chaitra
2025-08-09,raksha_bandhan,Raksha Bandhan,1,1,shravana
